No,ID_SERVICE,ID_TT43,Name_Method,Class,Group
89,01.0220.0162,1.220,"Rửa toàn bộ hệ thống tiêu hoá (dạ dày, tiểu tràng, đại tràng)",Các thủ thuật và dịch vụ Nội soi,Exclude
90,01.0221.0211,1.221,Thụt tháo,Các thủ thuật và dịch vụ Nội soi,Exclude
91,01.0222.0211,1.222,Thụt giữ,Các thủ thuật và dịch vụ Nội soi,Exclude
92,01.0223.0211,1.223,Đặt ống thông hậu môn,Các thủ thuật và dịch vụ Nội soi,Exclude
93,01.0231.0298,1.231,Đặt ống thông Blakemore vào thực quản cầm máu,Hồi sức cấp cứu và Chống độc,Exclude
94,01.0232.0140,1.232,Nội soi dạ dày thực quản cấp cứu chẩn đoán và cầm máu,Các thủ thuật và dịch vụ Nội soi,Exclude
95,01.0023.0097,1.23,Thăm dò huyết động theo phương pháp PiCCO,Các thủ thuật và dịch vụ Nội soi,Exclude
96,01.0238.0299,1.238,Đo áp lực ổ bụng,Hồi sức cấp cứu và Chống độc,Exclude
97,01.0239.0001,1.239,Siêu âm ổ bụng tại giường cấp cứu,Siêu âm,Exclude
98,01.0240.0077,1.240,Chọc dò ổ bụng cấp cứu,Các thủ thuật và dịch vụ Nội soi,Exclude
99,01.0242.0175,1.242,Rửa màng bụng cấp cứu,Các thủ thuật và dịch vụ Nội soi,Exclude
100,01.0243.0095,1.243,Dẫn lưu ổ bụng trong viêm tuỵ cấp ≤ 8 giờ,Các thủ thuật và dịch vụ Nội soi,Exclude
101,01.0243.0096,1.243,Dẫn lưu ổ bụng trong viêm tuỵ cấp ≤ 8 giờ,Các thủ thuật và dịch vụ Nội soi,Exclude
102,01.0244.0165,1.244,Chọc dẫn lưu ổ áp xe dưới siêu âm,Các thủ thuật và dịch vụ Nội soi,Exclude
103,01.0247.0118,1.247,Hạ thân nhiệt chỉ huy,Các thủ thuật và dịch vụ Nội soi,Exclude
104,01.0025.0004,1.25,Kỹ thuật đánh giá huyết động cấp cứu không xâm nhập bằng USCOM,Siêu âm,Exclude
105,01.0267.0203,1.267,Thay băng cho các vết thương hoại tử rộng (một lần),Các thủ thuật và dịch vụ Nội soi,Exclude
106,01.0267.0204,1.267,Thay băng cho các vết thương hoại tử rộng (một lần),Các thủ thuật và dịch vụ Nội soi,Exclude
107,01.0267.0205,1.267,Thay băng cho các vết thương hoại tử rộng (một lần),Các thủ thuật và dịch vụ Nội soi,Exclude
108,01.0281.1510,1.281,Xét nghiệm đường máu mao mạch tại giường (một lần),Hóa sinh,Exclude
109,01.0284.1269,1.284,Định nhóm máu tại giường,Huyết học,Exclude
110,01.0285.1349,1.285,Xét nghiệm đông máu nhanh tại giường,Huyết học,Exclude
111,01.0286.1531,1.286,Đo các chất khí trong máu,Hóa sinh,Exclude
112,01.0287.1532,1.287,Đo lactat trong máu,Hóa sinh,Exclude
113,01.0288.1764,1.288,Định tính chất độc bằng test nhanh – một lần,Xét nghiệm độc chất,Exclude
114,01.0289.1772,1.289,Định tính độc chất bằng sắc ký lớp mỏng – một lần,Xét nghiệm độc chất,Exclude
115,01.0292.1771,1.292,Định lượng chất độc bằng HPLC – một lần,Xét nghiệm độc chất,Exclude
116,01.0002.1778,1.2,Ghi điện tim cấp cứu tại giường,Thăm dò chức năng,Exclude
117,01.0293.1769,1.293,Định tính chất độc bằng sắc ký khí – một lần,Xét nghiệm độc chất,Exclude
118,01.0294.1771,1.294,Định lượng chất độc bằng sắc ký khí – một lần,Xét nghiệm độc chất,Exclude
119,01.0298.1466,1.298,Định lượng nhanh NT-ProBNP trong máu toàn phần tại chỗ bằng máy cầm tay,Hóa sinh,Exclude
120,01.0299.1239,1.299,Định lượng nhanh D-Dimer trong máu toàn phần tại chỗ bằng máy cầm tay,Huyết học,Exclude
121,01.0302.1350,1.302,Xác định nhanh 1NR/PT/ Quick % tại chỗ bằng máy cầm tay,Huyết học,Exclude
122,01.0303.0001,1.303,Siêu âm cấp cứu tại giường bệnh,Siêu âm,Exclude
123,01.0313.0118,1.313,Lọc máu liên tục CVVH trong hội chứng suy hô hấp cấp tiến triển (ARDS),Các thủ thuật và dịch vụ Nội soi,Exclude
124,01.0317.0099,1.317,Đặt catheter tĩnh mạch trung tâm một nòng dưới hướng dẫn của siêu âm,Các thủ thuật và dịch vụ Nội soi,Exclude
125,01.0318.0100,1.318,Đặt catheter tĩnh mạch trung tâm hai nòng dưới hướng dẫn của siêu âm,Các thủ thuật và dịch vụ Nội soi,Exclude
126,01.0319.0100,1.319,Đặt catheter tĩnh mạch trung tâm ba nòng dưới hướng dẫn của siêu âm,Các thủ thuật và dịch vụ Nội soi,Exclude
127,01.0032.0299,1.32,Sốc điện ngoài lồng ngực cấp cứu,Hồi sức cấp cứu và Chống độc,Exclude
128,01.0322.0097,1.322,Khai thông động mạch vành bằng sử dụng thuốc tiêu sợi huyết trong điều trị nhồi máu cơ tim cấp,Các thủ thuật và dịch vụ Nội soi,Exclude
129,01.0326.0119,1.326,Thay huyết tương bằng gelatin hoặc dung dịch cao phân tử,Các thủ thuật và dịch vụ Nội soi,Exclude
130,01.0327.0119,1.327,Thay huyết tương trong điều trị đợt cấp lupus ban đỏ hệ thống với dịch thay thế albumin 5%,Các thủ thuật và dịch vụ Nội soi,Exclude
131,01.0328.0119,1.328,Thay huyết tương trong điều trị đợt cấp lupus ban đỏ hệ thống với dịch thay thế albumin 5% kết hợp với hydroxyethyl starch (HES),Các thủ thuật và dịch vụ Nội soi,Exclude
132,01.0033.0391,1.33,Đặt máy khử rung tự động,Ngoại khoa,Exclude
133,01.0329.0119,1.329,Thay huyết tương trong điều trị đợt cấp lupus ban đỏ hệ thống với dịch thay thế huyết tương tươi đông lạnh,Các thủ thuật và dịch vụ Nội soi,Exclude
134,01.0330.0118,1.330,Lọc máu liên tục trong hội chứng tiêu cơ vân cấp,Các thủ thuật và dịch vụ Nội soi,Exclude
135,01.0331.0118,1.331,Lọc máu thẩm tách liên tục trong hội chứng tiêu cơ vân cấp,Các thủ thuật và dịch vụ Nội soi,Exclude
136,01.0332.0118,1.332,Lọc máu hấp phụ cytokine với quả lọc pmx (polymicin b),Các thủ thuật và dịch vụ Nội soi,Exclude
137,01.0336.0158,1.336,Rửa bàng quang ở bệnh nhân hồi sức cấp cứu và chống độc,Các thủ thuật và dịch vụ Nội soi,Exclude
138,01.0337.0195,1.337,Lọc máu cấp cứu ở bệnh nhân có mở thông động tĩnh mạch (FAV),Các thủ thuật và dịch vụ Nội soi,Exclude
139,01.0034.0299,1.34,Hồi phục nhịp xoang cho người bệnh loạn nhịp bằng máy sốc điện,Hồi sức cấp cứu và Chống độc,Exclude
140,01.0338.0119,1.338,Thay huyết tương trong điều trị hội chứng Guillain –barré với dịch thay thế albumin 5%,Các thủ thuật và dịch vụ Nội soi,Exclude
141,01.0339.0119,1.339,Thay huyết tương trong điều trị hội chứng Guillain –barré với dịch thay thế albumin 5% kết hợp với dung dịch cao phân tử,Các thủ thuật và dịch vụ Nội soi,Exclude
142,01.0340.0119,1.340,Thay huyết tương trong điều trị hội chứng Guillain –barré với dịch thay thế huyết tương tươi đông lạnh,Các thủ thuật và dịch vụ Nội soi,Exclude
143,01.0341.0119,1.341,Thay huyết tương trong điều trị cơn nhược cơ,Các thủ thuật và dịch vụ Nội soi,Exclude
144,01.0342.0119,1.342,Thay huyết tương trong điều trị cơn nhược cơ với dịch thay thế albumin 5%,Các thủ thuật và dịch vụ Nội soi,Exclude
145,01.0343.0119,1.343,Thay huyết tương trong điều trị cơn nhược cơ với dịch thay thế albumin 5% kết hợp với dung dịch cao phân tử,Các thủ thuật và dịch vụ Nội soi,Exclude
146,01.0344.0119,1.344,Thay huyết tương trong điều trị cơn nhược cơ với dịch thay thế huyết tương tươi đông lạnh,Các thủ thuật và dịch vụ Nội soi,Exclude
147,01.0346.0097,1.346,Khai thông mạch não bằng điều trị thuốc tiêu sợi huyết trong nhồi máu não cấp,Các thủ thuật và dịch vụ Nội soi,Exclude
148,01.0347.0119,1.347,Thay huyết tương điều trị ban xuất huyết giảm tiểu cầu huyết khối (TTP) với dịch thay thế huyết tương tươi đông lạnh,Các thủ thuật và dịch vụ Nội soi,Exclude
149,01.0348.0119,1.348,Thay huyết tương tươi bằng huyết tương tươi đông lạnh trong điều trị suy gan cấp,Các thủ thuật và dịch vụ Nội soi,Exclude
150,01.0349.0195,1.349,Lọc máu hấp phụ bilirubin trong điều trị suy gan cấp,Các thủ thuật và dịch vụ Nội soi,Exclude
151,01.0350.0110,1.350,Gan nhân tạo trong điều trị suy gan cấp,Các thủ thuật và dịch vụ Nội soi,Exclude
152,01.0351.0140,1.351,Nội soi dạ dày-tá tràng điều trị chảy máu do ổ loét bằng tiêm xơ tại đơn vị hồi sức tích cực,Các thủ thuật và dịch vụ Nội soi,Exclude
153,01.0352.0140,1.352,Nội soi tiêu hóa cầm máu cấp cứu bằng vòng cao su tại đơn vị hồi sức tích cực,Các thủ thuật và dịch vụ Nội soi,Exclude
154,01.0353.0140,1.353,Nội soi thực quản – dạ dày – tá tràng cầm máu bằng kẹp clip đơn vị hồi sức cấp cứu và chống độc,Các thủ thuật và dịch vụ Nội soi,Exclude
155,01.0355.0165,1.355,Chọc hút dẫn lưu nang giả tụy dưới hướng dẫn của siêu âm trong hồi sức cấp cứu,Các thủ thuật và dịch vụ Nội soi,Exclude
156,01.0036.0192,1.36,Tạo nhịp tim cấp cứu tạm thời với điện cực ngoài lồng ngực,,Exclude
157,01.0356.0078,1.356,Chọc hút dẫn lưu dịch ổ bụng dưới hướng dẫn của siêu âm trong điều trị viêm tụy cấp,Các thủ thuật và dịch vụ Nội soi,Exclude
158,01.0357.0078,1.357,Chọc tháo dịch ổ bụng dưới hướng dẫn của siêu âm trong khoa hồi sức cấp cứu,Các thủ thuật và dịch vụ Nội soi,Exclude
159,01.0359.0119,1.359,Thay huyết tương trong điều trị viêm tụy cấp do tăng triglyceride,Các thủ thuật và dịch vụ Nội soi,Exclude
160,01.0362.0074,1.362,Cấp cứu ngừng tuần hoàn cho bệnh nhân ngộ độc,Các thủ thuật và dịch vụ Nội soi,Exclude
161,01.0364.1169,1.364,Điều trị thải độc bằng phương pháp tăng cường bài niệu,Ung bướu,Exclude
162,01.0368.1889,1.368,Xử lý mẫu xét nghiệm độc chất,Xét nghiệm độc chất,Exclude
163,01.0371.1773,1.371,Xét nghiệm định tính Porphobilinogen (PBG) trong nước tiểu,Xét nghiệm độc chất,Exclude
164,01.0372.1591,1.372,Xét nghiệm định tính porphyrin trong nước tiểu,Hóa sinh,Exclude
165,01.0373.1762,1.373,Xét nghiệm định lượng cấp NH3 trong máu,Xét nghiệm độc chất,Exclude
166,01.0374.1766,1.374,Đo áp lực thẩm thấu dịch sinh học (một chỉ tiêu),Xét nghiệm độc chất,Exclude
167,01.0375.1770,1.375,Định lượng một chỉ tiêu kim loại nặng trong máu bằng máy quang phổ hấp phụ nguyên tử,Xét nghiệm độc chất,Exclude
168,01.0376.1769,1.376,Xác định thành phần hóa chất bảo vệ thực vật trong dịch sinh học bằng máy sắc ký khí khối phổ,Xét nghiệm độc chất,Exclude
169,01.0377.1771,1.377,Định lượng methanol bằng máy sắc ký khí khối phổ,Xét nghiệm độc chất,Exclude
170,01.0380.1169,1.380,Sử dụng thuốc giải độc trong ngộ độc cấp (chưa kể tiền thuốc),Ung bướu,Exclude
171,01.0386.0097,1.386,Khai thông động mạch phổi bằng sử dụng thuốc tiêu sợi huyết trong điều trị tắc mạch phổi cấp,Các thủ thuật và dịch vụ Nội soi,Exclude
172,01.0040.0081,1.40,Chọc hút dịch màng ngoài tim dưới siêu âm,Các thủ thuật và dịch vụ Nội soi,Exclude
173,01.0041.0081,1.41,Chọc dò màng ngoài tim cấp cứu,Các thủ thuật và dịch vụ Nội soi,Exclude
174,01.0042.0099,1.42,Đặt dẫn lưu màng ngoài tim cấp cứu bằng catheter qua da,Các thủ thuật và dịch vụ Nội soi,Exclude
175,01.0048.0290,1.48,Tim phổi nhân tạo (ECMO) cấp cứu tại giường trong hỗ trợ suy hô hấp cấp ≤ 8 giờ,Hồi sức cấp cứu và Chống độc,Exclude
176,01.0048.0291,1.48,Tim phổi nhân tạo (ECMO) cấp cứu tại giường trong hỗ trợ suy hô hấp cấp ≤ 8 giờ,Hồi sức cấp cứu và Chống độc,Exclude
177,01.0048.0292,1.48,Tim phổi nhân tạo (ECMO) cấp cứu tại giường trong hỗ trợ suy hô hấp cấp ≤ 8 giờ,Hồi sức cấp cứu và Chống độc,Exclude
178,01.0048.0293,1.48,Tim phổi nhân tạo (ECMO) cấp cứu tại giường trong hỗ trợ suy hô hấp cấp ≤ 8 giờ,Hồi sức cấp cứu và Chống độc,Exclude
179,01.0004.0321,1.4,Ghi điện tim qua chuyển đạo thực quản,Nội khoa,Exclude
180,01.0049.0290,1.49,Tim phổi nhân tạo (ECMO) cấp cứu tại giường trong hỗ trợ suy tuần hoàn cấp ≤ 8 giờ,Hồi sức cấp cứu và Chống độc,Exclude
181,01.0049.0291,1.49,Tim phổi nhân tạo (ECMO) cấp cứu tại giường trong hỗ trợ suy tuần hoàn cấp ≤ 8 giờ,Hồi sức cấp cứu và Chống độc,Exclude
182,01.0049.0292,1.49,Tim phổi nhân tạo (ECMO) cấp cứu tại giường trong hỗ trợ suy tuần hoàn cấp ≤ 8 giờ,Hồi sức cấp cứu và Chống độc,Exclude
183,01.0049.0293,1.49,Tim phổi nhân tạo (ECMO) cấp cứu tại giường trong hỗ trợ suy tuần hoàn cấp ≤ 8 giờ,Hồi sức cấp cứu và Chống độc,Exclude
184,01.0053.0075,1.53,"Đặt canuyn mũi hầu, miệng hầu",Các thủ thuật và dịch vụ Nội soi,Exclude
185,01.0054.0114,1.54,Hút đờm qua ống nội khí quản/canuyn mở khí quản bằng ống thông một lần ở người bệnh không thở máy (một lần hút),Các thủ thuật và dịch vụ Nội soi,Exclude
186,01.0055.0114,1.55,Hút đờm qua ống nội khí quản/canuyn mở khí quản bằng ống thông một lần ở người bệnh có thở máy (một lần hút),Các thủ thuật và dịch vụ Nội soi,Exclude
187,01.0056.0300,1.56,Hút đờm qua ống nội khí quản/canuyn mở khí quản bằng ống thông kín (có thở máy) (một lần hút),Hồi sức cấp cứu và Chống độc,Exclude
188,01.0065.0071,1.65,Bóp bóng Ambu qua mặt nạ,Các thủ thuật và dịch vụ Nội soi,Exclude
189,01.0066.1888,1.66,Đặt ống nội khí quản,Các thủ thuật và dịch vụ Nội soi,Exclude
190,01.0067.1888,1.67,Đặt nội khí quản 2 nòng,Các thủ thuật và dịch vụ Nội soi,Exclude
191,01.0006.0215,1.6,Đặt catheter tĩnh mạch ngoại biên,Các thủ thuật và dịch vụ Nội soi,Exclude
